"","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","x10","x11","x12","x13","Degree"
"1",7771,7943,806,194,1096,49,75,16,25,0,4,0,0,1,1
"2",13829,12739,624,690,3032,120,295,119,360,8,9,3,1,2,1
"3",18773,17538,1939,2034,11667,705,713,205,637,10,19,6,4,3,2
"4",23460,21101,6619,5269,40662,1309,2328,779,3858,18,100,12,10,6,3
"5",22007,20122,4246,5349,58471,1157,2344,886,4344,15,131,30,6,6,2
"6",25526,23467,389,1098,6938,162,588,155,959,10,18,12,5,7,3
"7",39991,36567,1605,4141,62562,1062,1794,522,2764,16,88,13,4,9,4
"8",20965,19049,3958,3639,28207,710,1618,686,3245,25,101,25,8,9,2
"9",22675,20479,1726,1527,17284,339,669,225,1025,8,40,9,2,3,3
"10",34586,30801,1365,1825,21955,475,747,255,1386,4,39,13,2,6,4
"11",14899,13226,1289,3921,61996,1323,1284,648,5998,14,88,24,3,7,1
"12",30252,27234,3908,3610,40771,730,1585,488,2301,17,73,19,3,4,4
"13",45241,42650,4186,910,5798,244,341,172,641,15,32,6,2,8,4
"14",16336,15361,2716,1445,19272,482,475,198,1045,9,28,9,2,3,1
"15",17564,15468,2042,4195,26876,1065,1758,783,4308,16,127,34,5,4,2
"16",27994,24389,1751,4060,28429,1170,1658,728,4150,13,90,28,6,3,3
"17",35865,32466,11588,15733,156652,3374,7328,2390,13494,56,340,50,29,14,4
"18",36477,32898,3957,3255,38543,670,1351,491,1929,16,103,11,6,7,4
"19",16940,15691,2442,861,5483,193,355,181,563,9,21,3,8,2,2
"20",16527,14715,1631,573,8953,164,233,73,203,2,8,3,1,4,1
"21",24750,22958,906,457,9629,94,224,52,491,2,11,6,1,5,3
"22",29936,26413,3034,4253,37515,1100,1676,678,4640,12,71,27,2,5,4
"23",32781,31183,1704,627,17732,118,297,94,510,7,10,10,4,2,4
"24",27379,26057,1128,552,2284,110,218,95,250,6,15,9,1,3,3
"25",7529,7103,1100,413,1735,115,125,87,234,9,6,1,1,3,1
"26",46821,44896,5567,3393,17878,872,1067,792,2579,27,61,22,10,9,4
"27",301,134,45,18,340,8,5,0,0,0,0,0,0,0,1
"28",28126,26586,2148,1354,9471,333,487,245,822,11,36,7,8,6,3
"29",22408,20826,1246,1527,6405,439,565,336,1039,12,43,14,6,7,3
"30",17980,16634,547,1024,4209,261,470,150,666,6,19,13,9,3,2
"31",11054,10320,742,695,5264,170,206,161,499,8,12,2,2,1,1
"32",20867,19540,1572,1920,19353,535,610,316,1012,5,59,9,1,5,2
"33",24982,23485,4360,1713,7283,418,575,373,1008,21,39,26,9,3,3
"34",23896,22481,2610,2244,10221,581,757,490,1464,19,58,22,12,7,3
"35",37433,35427,4256,1484,5324,388,469,305,770,14,27,16,8,8,4
"36",14654,13866,1282,669,3999,146,275,123,414,6,16,6,3,0,1
"37",18896,17641,654,452,2059,133,192,47,135,2,7,4,0,2,2
"38",28838,27243,3377,1207,5257,317,416,210,626,16,18,8,4,3,4
"39",35638,33680,5536,3411,14608,1310,894,675,2287,14,56,16,9,2,4
"40",27990,26340,4252,1654,7153,510,510,335,993,21,24,11,10,7,3
"41",22707,21694,4077,1487,6346,319,466,375,986,15,34,16,7,1,3
"42",19572,18094,3984,1635,8932,386,523,365,1305,9,35,5,5,3,2
"43",17381,17045,1981,491,3594,115,177,69,144,4,10,3,2,0,2
"44",18889,18027,1675,482,2368,100,194,84,245,7,14,4,2,5,2
"45",33387,31692,1879,598,2225,122,268,119,274,9,14,6,3,4,4
"46",26379,24767,2976,860,3276,201,335,131,261,11,6,5,7,3,3
"47",28967,27164,4010,1737,7964,401,547,476,1811,21,30,17,5,6,4
"48",29023,27109,4281,1845,7424,401,549,400,935,16,23,5,1,6,4
"49",22065,20577,3046,1265,4900,440,334,260,565,8,20,3,8,5,2
"50",22379,20769,2294,1051,3672,257,388,174,465,12,11,5,5,4,3
"51",23863,22616,4919,2378,9235,534,753,715,2228,25,42,14,16,4,3
"52",21760,20380,2121,809,4077,189,204,315,876,12,44,7,1,6,2
"53",32792,30857,3629,1198,5323,303,397,236,579,10,30,7,3,1,4
"54",33189,31304,9062,5012,48577,1255,1738,923,3961,22,129,21,9,6,4
"55",15671,15047,3281,518,3669,136,231,70,226,5,5,6,4,2,1
"56",16392,15650,2653,699,6927,223,239,47,198,3,6,3,0,2,1
"57",27705,25996,3969,1835,35643,470,491,358,1528,9,30,15,6,3,3
"58",23352,22021,4871,1665,15781,471,565,287,1056,14,40,11,5,0,3
"59",21991,20633,1797,584,4939,147,222,105,282,6,18,6,3,3,2
"60",33085,31375,4517,2341,20897,824,803,355,1831,18,45,14,6,7,4
"61",38693,37282,1783,2292,13819,994,709,284,1211,16,38,12,5,8,4
"62",45991,43494,3398,2207,10084,559,863,387,1149,28,40,21,10,7,4
"63",24108,22444,3879,1838,13711,708,458,329,1706,8,34,19,7,6,3
"64",24744,23292,3384,620,4518,146,237,97,311,8,14,6,2,0,3
"65",40905,38524,2090,1922,16263,469,737,270,1096,16,40,16,7,7,4
"66",46115,43325,2507,1425,7833,301,685,203,649,12,27,15,6,4,4
"67",53525,50623,8620,2606,10182,570,848,693,2021,23,41,16,15,7,4
"68",19713,18684,2088,683,2689,309,216,67,149,3,9,2,3,1,2
"69",22550,21109,2014,1034,4322,204,425,242,793,13,22,8,9,3,3
"70",22331,21265,2579,1223,3548,407,391,250,549,18,23,2,8,3,3
"71",24634,22947,2919,1608,10884,306,550,462,1593,12,26,4,10,5,3
"72",26311,24840,2883,1057,3728,315,396,209,498,15,17,10,7,2,3
"73",35944,33998,4717,1096,3931,265,416,262,668,13,22,7,6,7,4
"74",16958,20214,5969,1184,7758,166,345,486,2159,11,59,8,3,2,2
"75",28870,27485,3558,672,2140,169,288,108,269,12,6,6,7,2,4
"76",16568,15517,1226,293,1777,54,139,39,106,6,4,2,1,2,1
"77",18782,17573,3282,803,4974,168,306,232,972,9,18,7,2,3,2
"78",23824,23335,9687,1522,14381,169,566,645,1996,21,66,10,22,6,3
"79",32552,30807,3625,1240,5226,309,431,212,616,16,21,7,2,4,4
"80",25230,24146,4392,1208,6447,452,336,246,668,15,23,9,2,5,3
"81",25878,24064,2857,732,2206,253,237,117,209,7,6,2,1,1,3
"82",24239,22828,7148,716,2721,148,243,210,449,11,21,2,9,1,3
"83",23077,21794,6435,1178,7380,302,361,399,1851,13,30,9,6,4,3
"84",32810,31110,2744,636,2618,109,319,79,198,6,11,3,2,2,4
"85",21363,20279,10468,1613,5811,312,494,599,1895,14,48,3,18,4,2
"86",23108,21817,6172,1271,4579,326,421,227,543,12,13,6,8,1,3
"87",18780,17540,4618,749,2286,205,247,167,354,13,9,5,4,3,2
"88",35080,33483,4753,1345,6395,306,501,273,731,22,22,12,3,5,4
"89",26899,25831,6037,926,3776,219,339,212,594,16,26,7,4,2,3
"90",17606,16503,4666,1644,6873,402,475,357,1027,15,30,4,7,2,2
"91",15284,14482,4685,885,4339,175,337,209,655,11,26,5,3,2,1
"92",28789,27211,10308,1733,10304,383,631,401,1297,21,41,9,10,7,3
"93",16384,15454,1369,350,1228,59,169,62,153,4,12,4,2,3,1
"94",29876,28681,8734,1314,6623,305,543,281,799,21,32,7,6,3,4
"95",36139,34253,1441,1338,17165,331,508,220,1925,12,33,14,1,5,4
"96",22517,21252,4838,1703,7282,371,608,406,1042,21,38,11,9,3,3
